GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,H005001,H005001.2000,H005002,H005002.2000,H005003,H005003.2000,H005004,H005004.2000,H005005,H005005.2000,H005006,H005006.2000,H005007,H005007.2000,H005008,H005008.2000
47159,050,47,159,34980,400,,,Smith County,19166,8529,17712,7665,1119,787,227,111,19,,150,109,42,,188,104,1,3,492,383
47161,050,47,161,17300,999,,,Stewart County,13324,6778,12370,5977,1392,1047,133,109,5,,100,93,27,,661,520,7,12,459,271
47163,050,47,163,28700,304,,,Sullivan County,156823,73760,153048,69052,7462,5496,2174,2046,98,,1284,993,317,,906,497,1,0,2682,1444
47165,050,47,165,34980,400,,,Sumner County,160645,65968,130449,51657,4993,2716,1823,884,86,,1211,639,207,,329,227,5,5,1332,775
47167,050,47,167,32820,999,,,Tipton County,61081,23199,51271,19064,1582,958,509,248,22,,309,283,68,,65,70,5,1,604,279
47169,050,47,169,34980,400,,,Trousdale County,7870,3368,7259,3095,392,315,103,54,2,,50,37,27,,41,39,4,17,165,117
47171,050,47,171,27740,304,,,Unicoi County,18313,8830,17667,8214,1104,698,188,123,8,,98,60,63,,213,114,1,0,533,341
47173,050,47,173,28940,314,,,Union County,19109,8958,17808,7916,1567,1174,246,179,8,,167,86,60,,634,458,0,0,452,389
47175,050,47,175,99999,999,,,Van Buren County,5548,2663,5508,2453,417,273,25,17,3,,53,24,11,,195,75,0,0,130,137
47177,050,47,177,32660,999,,,Warren County,39839,17821,38276,16689,1971,1508,565,488,24,,297,295,96,,227,118,6,5,756,476
47179,050,47,179,27740,304,,,Washington County,122979,57254,107198,47779,5932,3584,1793,1371,79,,1060,679,181,,457,261,7,10,2355,913
47181,050,47,181,99999,999,,,Wayne County,17021,7287,16842,6701,1151,765,164,130,7,,104,64,52,,289,94,0,0,535,449
47183,050,47,183,32280,542,,,Weakley County,35021,15495,34895,14928,1597,1329,489,447,26,,219,175,108,,166,130,0,4,589,505
47185,050,47,185,99999,999,,,White County,25841,11511,23102,10191,1239,962,214,212,5,,180,177,64,,230,124,1,1,545,395
47187,050,47,187,34980,400,,,Williamson County,183182,68498,126638,47005,3612,2280,954,502,99,,1158,851,231,,352,155,6,10,812,437
47189,050,47,189,34980,400,,,Wilson County,113993,45568,88809,34921,3005,2123,818,542,43,,661,544,168,,361,289,1,7,953,580
